YEAR,UNIT,TYPE,0...20,21...40,41...60,61...80,81...
1999,kha,protected,20.28,31.45,58.34,56.48,46.65
2000,kha,protected,18.19,28.06,48.11,57.05,58.49
2001,kha,protected,13.94,28.7,43.87,47.15,55.35
2002,kha,protected,11.49,27.71,43.61,48.54,56.54
2003,kha,protected,10.97,29.13,46.77,50.36,58.87
2004,kha,protected,10.61,31.01,52.23,54.37,65.28
2005,kha,protected,10.07,33.66,56.24,53.39,67.73
2006,kha,protected,9.89,31.5,58.0,54.02,68.09
2007,kha,protected,10.96,29.53,62.71,54.08,70.12
2008,kha,protected,10.84,27.75,59.95,52.05,72.01
2009,kha,protected,10.33,26.13,59.55,55.4,70.59
2010,kha,protected,10.03,21.98,56.11,55.91,68.17
2011,kha,protected,10.91,23.24,60.72,62.53,69.5
2012,kha,protected,11.01,27.67,62.01,68.17,74.23
2013,kha,protected,13.17,28.26,64.22,73.85,78.2
2014,kha,protected,12.54,28.82,61.79,69.68,86.37
2015,kha,protected,14.71,34.9,68.68,75.27,94.65
2016,kha,protected,16.65,41.11,73.9,80.91,102.33
2017,kha,protected,19.68,44.83,80.33,90.57,113.19
2018,kha,protected,17.55,40.35,72.54,76.07,101.49
2019,kha,protected,18.25,44.51,73.41,83.24,109.2
2020,kha,protected,20.46,46.39,74.04,84.48,120.13
2021,kha,protected,22.73,48.82,83.22,103.22,149.7
2022,kha,protected,25.23,47.51,81.49,106.31,161.25
2023,kha,protected,23.36,44.99,80.44,110.29,170.62
